WorkID,WorkTitle,Genre,GenreID
860,Slaughterbots,"Narrative, Online video","20001, 2000132"
373,"Strange Beasts","Narrative, Movie","20001, 2000130"
373,"Strange Beasts","Narrative, Movie","20001, 2000130"
371,"The Cell","Narrative, Music video","20001, 2000316"
371,"The Cell","Narrative, Music video","20001, 2000316"
675,"The Circle","Narrative, Movie","20001, 2000130"
675,"The Circle","Narrative, Movie","20001, 2000130"
1481,"The Murderbot Diaries (series)","Narrative, Novel","20001, 2000133"
1481,"The Murderbot Diaries (series)","Narrative, Novel","20001, 2000133"
2068,"Six Wakes","Narrative, Novel","20001, 2000133"
2068,"Six Wakes","Narrative, Novel","20001, 2000133"
3087,"Have a Nice Day","Narrative, Movie","20001, 2000130"
3087,"Have a Nice Day","Narrative, Movie","20001, 2000130"
1918,Logan,"Narrative, Movie","20001, 2000130"
1918,Logan,"Narrative, Movie","20001, 2000130"
2300,"Ghost in the Shell","Narrative, Movie","20001, 2000130"
2300,"Ghost in the Shell","Narrative, Movie","20001, 2000130"
1975,"Órbita 9","Narrative, Movie","20001, 2000130"
1975,"Órbita 9","Narrative, Movie","20001, 2000130"
2083,"Welcome to Your Authentic Indian ExperienceTM","Narrative, Short story","20001, 2000134"
2083,"Welcome to Your Authentic Indian ExperienceTM","Narrative, Short story","20001, 2000134"
2382,Srivalli,"Narrative, Movie","20001, 2000130"
2382,Srivalli,"Narrative, Movie","20001, 2000130"
1904,"Blade Runner 2049","Narrative, Movie","20001, 2000130"
1904,"Blade Runner 2049","Narrative, Movie","20001, 2000130"
2356,"Thor: Ragnarok","Narrative, Movie","20001, 2000130"
2356,"Thor: Ragnarok","Narrative, Movie","20001, 2000130"
831,Anon,"Narrative, Movie","20001, 2000130"
831,Anon,"Narrative, Movie","20001, 2000130"
611,"Better Than Us","Narrative, TV series or episode","20001, 2000131"
611,"Better Than Us","Narrative, TV series or episode","20001, 2000131"
1722,"Black Panther (2018 movie)","Narrative, Movie","20001, 2000130"
1722,"Black Panther (2018 movie)","Narrative, Movie","20001, 2000130"
6,"Breathe: A Ghost Story","Narrative, Electronic literature","20001, 2000137"
6,"Breathe: A Ghost Story","Narrative, Electronic literature","20001, 2000137"
1085,Cam,"Narrative, Movie","20001, 2000130"
1085,Cam,"Narrative, Movie","20001, 2000130"
745,"Come Out To LA","Narrative, Music video","20001, 2000316"
