Character,ID,Race/ethnicity,"Race/ethnicity ID",Gender,"Gender ID",Species,"Species ID",Age,"Age ID",Sexuality,"Sexuality ID"
"Sabine Brandt",2792,White,2000216,Female,2000148,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
Holston,2789,"Unknown/not applicable",2000217,Male,2000149,Human,2000219,Adult,2000227,Heterosexual,2000999
Bagley,2787,"Unknown/not applicable",2000217,Male,2000149,Machine,2000220,"Unknown/Not applicable",20001918,"Unknown/not applicable",20001506
"DedSec Operative",2786,"Unknown/not applicable",2000217,"Unknown/Not applicable",2000151,Human,2000219,"Unknown/Not applicable",20001918,"Unknown/not applicable",20001506
Compis,2782,"Unknown/not applicable",2000217,Male,2000149,Machine,2000220,"Young adult",2000225,"Unknown/not applicable",20001506
Fredrik,2780,,,Male,2000149,Human,2000219,"Young adult",2000225,,
Leo,2779,White,2000216,Male,2000149,Human,2000219,"Young adult",2000225,"Unknown/not applicable",20001506
"Gideon DeKalb's mother",2777,"Unknown/not applicable",2000217,Female,2000148,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Gideon DeKalb",2775,White,2000216,Female,2000148,Human,2000219,"Young adult",2000225,"Unknown/not applicable",20001506
"Unknown woman (The Rain)",2773,White,2000216,Female,2000148,Human,2000219,Adult,2000227,Heterosexual,2000999
"The Operator (Lifeline)",2770,"Unknown/not applicable",2000217,Male,2000149,Human,2000219,Adult,2000227,Heterosexual,2000999
"Anthony Lund",2768,White,2000216,Male,2000149,Human,2000219,Adult,2000227,Heterosexual,2000999
Alfred,2767,White,2000216,Male,2000149,Human,2000219,Elderly,2000226,"Unknown/not applicable",20001506
"Simon Stagg",2765,White,2000216,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"""Max Dovey""",2762,White,2000216,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
"Soldiers (Interface)",2759,"Unknown/not applicable",2000217,Male,2000149,Human,2000219,Adult,2000227,"Unknown/not applicable",20001506
